,name,link,salary_min,salary_max,salary_currency,service_link
22,Помощник маркетолога,https://hh.ru/vacancy/51629924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,50000,,руб.,https://hh.ru
23,Digital marketing manager / Интернет маркетолог,https://hh.ru/vacancy/50951032?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,70000,140000,руб.,https://hh.ru
24,Маркетолог,https://hh.ru/vacancy/50433290?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,80000,,руб.,https://hh.ru
25,Интернет-маркетолог в онлайн-школу,https://hh.ru/vacancy/51720937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,70000,,руб.,https://hh.ru
26,SMM - менеджер / маркетолог,https://hh.ru/vacancy/51509822?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,80000,100000,руб.,https://hh.ru
27,Интернет-маркетолог (удаленно),https://hh.ru/vacancy/49828955?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,80000,,руб.,https://hh.ru
28,Маркетолог,https://hh.ru/vacancy/52158398?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,,,,https://hh.ru
29,Маркетолог,https://hh.ru/vacancy/52186293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,40000,,руб.,https://hh.ru
30,Маркетолог,https://hh.ru/vacancy/52256548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,160000,250000,KZT,https://hh.ru
31,Интернет-маркетолог (email) в проект Statname (удаленно),https://hh.ru/vacancy/51707934?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,80000,,руб.,https://hh.ru
32,Менеджер по маркетингу и рекламе,https://hh.ru/vacancy/51048525?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,70000,85000,руб.,https://hh.ru
33,Интернет-маркетолог,https://hh.ru/vacancy/52251811?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,,,,https://hh.ru
34,Интернет-маркетолог,https://hh.ru/vacancy/50929830?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,70000,,руб.,https://hh.ru
35,Менеджер по маркетингу в молл Апорт,https://hh.ru/vacancy/52187932?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,250000,300000,KZT,https://hh.ru
36,Интернет-маркетолог,https://hh.ru/vacancy/51126289?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,100000,150000,руб.,https://hh.ru
37,Маркетинговый аналитик,https://hh.ru/vacancy/51354625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,104000,150000,руб.,https://hh.ru
38,Маркетолог,https://hh.ru/vacancy/51040148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,,100000,руб.,https://hh.ru
39,Ассистент маркетолога (удаленно),https://hh.ru/vacancy/52053860?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,25000,25000,руб.,https://hh.ru
